Manufacturer,Model,City,Fueltype,kms,color,pwr_steering,man_year,price
Volkswagen, Passat Highline DSG ,Thane,Diesel,"84,000 KM",White,Yes,2011,"9,25,000"
Mercedes Benz, GLA Class GLA200CDI Sport ,Mumbai,Diesel,"34,000 KM",Red,Yes,2015,"23,50,000"
Honda, City 1.5 V MT ,Mumbai,Petrol,"67,022 KM",White,Yes,2015,"7,25,000"
BMW, 3 Series 320d Sedan ,Thane,Diesel,"73,000 KM",Silver,Yes,2011,"12,50,000"
Maruti Suzuki, Wagon R LXi CNG ,Thane,Petrol+Cng,"68,000 KM",Red,Yes,2010,"1,99,000"
Volkswagen, Polo Trendline 1.2L (D) ,Thane,Diesel,"59,000 KM",Red,Yes,2012,"3,50,000"
Toyota, Etios V ,Mumbai,Petrol,"28,000 KM",Grey,Yes,2013,"3,75,000"
Honda, City 1.5 S AT ,Mumbai,Petrol,"86,738 KM",Beize,Yes,2009,"3,45,000"
Hyundai, Eon Era ,Mumbai,Petrol,"34,000 KM",Blue,Yes,2012,"1,70,000"
Renault, Duster 110 PS RXL 4X2 AMT ,Mumbai,Diesel,"31,000 KM",Black,Yes,2016,"9,75,000"
Hyundai, Grand i10 4 Speed Automatic Asta ,Mumbai,Petrol,"15,000 KM",Grey,Yes,2016,"5,75,000"
Audi, Q7 3.0 TDI quattro ,Mumbai,Diesel,"1,25,000 KM",Black,Yes,2009,"25,00,000"
Skoda, Rapid Ambition 1.5 TDI AT ,Thane,Diesel,"12,071 KM",Grey,Yes,2016,"8,75,000"
Land Rover, Range Rover Velar 2.0 SE Diesel 180 ,Mumbai,Diesel,170 KM,Firanze Red,Yes,2017,"95,00,000"
Toyota, Etios Xclusive Petrol ,Mumbai,Petrol,"38,000 KM",Grey,Yes,2013,"3,75,000"
Hyundai, Eon Era + ,Thane,Petrol,"13,580 KM",Grey,Yes,2014,"3,00,000"
Maruti Suzuki, Wagon R 1.0 MC LXI CNG ,Mumbai,Petrol+Cng,"48,504 KM",Blue,Yes,2012,"3,35,000"
Honda, Jazz V MT ,Mumbai,Petrol,"29,616 KM",Silver,Yes,2015,"5,95,000"
Mercedes Benz, E Class E200 CGI Blue Efficiency ,Mumbai,Petrol,"22,000 KM",Maroon,Yes,2011,"15,50,000"
Audi, Q5 2.0 TDI Technology Pack ,Mumbai,Diesel,"32,000 KM",Black,Yes,2013,"25,50,000"
Honda, Mobilio V i VTEC ,Thane,Petrol,"49,000 KM",Red,Yes,2014,"5,45,000"
Land Rover, Discovery 3.0 Petrol SE ,Mumbai,Petrol,800 KM,Loire Blue,Yes,2018,"85,00,000"
Maruti Suzuki, Alto LX CNG ,Mumbai,Petrol+Cng,"62,987 KM",Grey,Yes,2013,"2,60,000"
Hyundai, Verna Fluidic 1.6 VTVT SX ,Mumbai,Petrol,"62,474 KM",Black,Yes,2011,"4,25,000"
Audi, Q7 3.0 TDI quattro Premium ,Thane,Diesel,"50,000 KM",White,Yes,2011,"28,00,001"
Maruti Suzuki, Ertiga ZDI Plus SHVS ,Mumbai,Diesel,"22,515 KM",White,Yes,2015,"9,50,000"
Maruti Suzuki, Alto 800 LXI CNG ,Thane,Petrol+Cng,"22,158 KM",Grey,Yes,2017,"3,50,000"
Mercedes Benz, B Class B180 Sport ,Mumbai,Petrol,"40,848 KM",White,Yes,2012,"14,50,000"
Toyota, Innova 2.5 VX 8 STR ,Thane,Diesel,"67,717 KM",Grey,Yes,2015,"13,25,000"
Hyundai, i10 Sportz 1.2 AT ,Mumbai,Petrol,"22,857 KM",White,Yes,2010,"3,15,000"
Honda, City ZX CVT Petrol ,Mumbai,Petrol,"7,677 KM",Brown,Yes,2017,"14,50,000"
Maruti Suzuki, Swift Dzire VXi ,Mumbai,Petrol,"12,500 KM",Grey,Yes,2014,"4,98,000"
Audi, RS 7 4.0 TFSI Quattro ,Mumbai,Petrol,"35,000 KM",ESTORIL BLUE,Yes,2014,"85,00,000"
Toyota, Corolla Altis 1.8G(CVT) ,Mumbai,Petrol,"38,000 KM",White,Yes,2014,"13,25,000"
Hyundai, Verna Fluidic 1.6 VTVT ,Mumbai,Petrol,"62,477 KM",Black,Yes,2011,"4,25,000"
Maruti Suzuki, S Cross Zeta DDiS 200 ,Mumbai,Diesel,"26,429 KM",White,Yes,2016,"8,25,000"
Mercedes Benz, C Class C 220 CDI BlueEFFICIENCY ,Thane,Diesel,"27,000 KM",White,Yes,2013,"18,75,000"
Maruti Suzuki, A Star VXI AT ,Thane,Petrol+Cng,"42,000 KM",Black,Yes,2011,"2,40,000"
BMW, 3 Series 320d Sedan ,Mumbai,Diesel,"54,000 KM",White,Yes,2012,"13,50,000"
Jaguar, XF Diesel Luxury 2.2 ,Mumbai,Diesel,"38,200 KM",Rhodium Silver,Yes,2013,"28,00,000"
Honda, Civic 1.8V AT ,Mumbai,Petrol,"79,353 KM",Silver,Yes,2009,"3,15,000"
Honda, Amaze VX AT Petrol ,Mumbai,Petrol,"2,946 KM",Grey,Yes,2017,"9,00,000"
Honda, City ZX CVT Petrol ,Mumbai,Petrol,"24,000 KM",Maroon,Yes,2017,"12,25,000"
Audi, A8 L 60 TDI ,Mumbai,Diesel,"7,500 KM",White,Yes,2017,"1,15,00,000"
Mahindra, XUV500 W10 FWD ,Thane,Diesel,"57,000 KM",Silver,Yes,2015,"12,95,000"
Maruti Suzuki, Baleno Sigma Petrol ,Mumbai,Petrol,"10,154 KM",Grey,Yes,2017,"5,25,000"
Skoda, Rapid Elegance 1.6 MPI AT ,Mumbai,Petrol,"58,000 KM",Black,Yes,2012,"3,75,000"
Mercedes Benz, M Class ML 250 ,Mumbai,Diesel,"69,000 KM",White,No,2015,"38,85,000"
Mahindra, XUV500 W8 4 X 2 ,Mumbai,Diesel,"36,351 KM",Orange,Yes,2015,"11,89,000"
Skoda, Fabia Elegance 1.6 MPI ,Thane,Petrol,"31,344 KM",Red,Yes,2011,"2,75,000"
Maruti Suzuki, Swift Dzire LXi ,Thane,Petrol,"33,090 KM",Blue,Yes,2012,"3,95,000"
Chevrolet, Spark LT 1.0 ,Thane,Petrol,"32,005 KM",White,Yes,2014,"1,95,000"
Audi, A6 2.0 TDI Premium ,Mumbai,Diesel,"56,500 KM",Blue,Yes,2013,"22,80,000"
Mercedes Benz, S Class S 350D ,Mumbai,Diesel,"20,000 KM",White,Yes,2016,"85,00,000"
BMW, X3 xDrive 20d Expedition ,Mumbai,Diesel,"35,000 KM",White,Yes,2015,"34,50,000"
Audi, A6 2.0 TDI Premium ,Mumbai,Diesel,"37,000 KM",White,Yes,2013,"19,81,000"
Audi, Q5 2.0 TDI Quattro Premium+ ,Mumbai,Diesel,"43,000 KM",Brown,Yes,2012,"22,50,000"
BMW, 7 Series 730Ld Sedan ,Mumbai,Diesel,"73,000 KM",Grey,Yes,2010,"22,00,000"
Mini, Cooper 1.6 ,Mumbai,Petrol,"21,000 KM",Red,Yes,2013,"21,89,000"
Mercedes Benz, C Class 220 CDI Sport ,Thane,Diesel,"63,606 KM",Silver,Yes,2011,"11,95,000"
Hyundai, i20 Magna 1.2 ,Mumbai,Petrol,"48,267 KM",Grey,Yes,2013,"3,65,000"
Hyundai, Eon Sportz ,Mumbai,Petrol,"2,447 KM",White,Yes,2018,"4,25,000"
Mahindra, XUV500 W8 FWD ,Thane,Diesel,"68,000 KM",White,Yes,2011,"5,99,000"
Hyundai, i20 Sportz 1.2 BS IV ,Mumbai,Petrol,"39,574 KM",Red,Yes,2011,"3,25,000"
Honda, City NEW S AT ,Mumbai,Petrol,"42,491 KM",Bronze,Yes,2013,"5,25,000"
Maruti Suzuki, Stingray VXi ,Mumbai,Petrol,"40,330 KM",Grey,Yes,2014,"3,75,000"
Maruti Suzuki, Baleno Delta Petrol ,Mumbai,Petrol,"17,782 KM",White,Yes,2017,"6,95,000"
Hyundai, Elite i20 1.2 Kappa VTVT Asta Petrol ,Mumbai,Petrol,"3,400 KM",Grey,Yes,2017,"6,95,000"
Tata, Indica Vista Aura Safire BS III ,Thane,Petrol,"47,845 KM",S Orange,Yes,2010,"1,75,000"
Maruti Suzuki, Wagon R 1.0 MC LXI ,Thane,Petrol,"48,098 KM",Blue,Yes,2010,"2,45,000"
Hyundai, Verna Fluidic 1.6 CRDI SX Opt AT ,Thane,Diesel,"52,814 KM",White,Yes,2012,"6,45,000"
Maruti Suzuki, Celerio ZXi AMT ABS ,Thane,Petrol,"19,332 KM",Grey,Yes,2015,"4,50,000"
Honda, Jazz V 1.2L i-VTEC CVT ,Thane,Petrol,"9,314 KM",White,Yes,2018,"7,85,000"
Land Rover, Range Rover 3.0 V6 Diesel Vogue LWB ,Mumbai,Diesel,"8,995 KM",Gold,Yes,2017,"1,75,00,000"
Jeep, Compass Limited 2.0 Diesel ,Mumbai,Diesel,"15,400 KM",White,Yes,2017,"19,85,000"
Honda, Brio S MT ,Thane,Petrol,"51,922 KM",White,Yes,2013,"2,95,000"
Honda, City VX(O) BL 1.5L i-VTEC Sunroof ,Mumbai,Petrol,"31,000 KM",White,Yes,2015,"8,50,000"
BMW, X1 sDrive20d ,Mumbai,Diesel,"65,000 KM",Silver,Yes,2012,"11,50,000"
Mercedes Benz, GLE 250 d ,Mumbai,Diesel,"20,000 KM",White,Yes,2017,"58,00,000"
Audi, Q5 2.0 TDI Quattro Premium+ ,Mumbai,Diesel,"43,000 KM",White,Yes,2013,"20,50,000"
Renault, Pulse RxL Diesel ,Thane,Diesel,"39,676 KM",Red,Yes,2014,"3,80,000"
Volkswagen, Vento Highline Petrol AT ,Mumbai,Petrol,"36,000 KM",Silver,Yes,2011,"3,95,000"
Volkswagen, Vento 1.6L MT Highline Diesel ,Mumbai,Diesel,"55,000 KM",Silver,Yes,2012,"4,95,000"
Volkswagen, Jetta 2.0L CR TDI (MT) Comfortline ,Mumbai,Diesel,"42,000 KM",White,Yes,2013,"7,35,000"
Volkswagen, Polo Comfortline 1.2L (P) ,Mumbai,Petrol,"13,000 KM",Red,Yes,2016,"5,20,000"
Toyota, Etios VX ,Mumbai,Petrol,"21,000 KM",Grey,Yes,2015,"4,80,000"
Tata, Nano Twist XT ,Mumbai,Petrol,"1,000 KM",White,Yes,2014,"1,65,000"
Skoda, Rapid Elegance 1.6 MPI AT ,Mumbai,Petrol,"30,000 KM",White,Yes,2015,"6,30,000"
Mercedes Benz, B Class B180 Sport ,Mumbai,Petrol,"42,000 KM",White,Yes,2012,"13,75,000"
Mahindra, XUV500 W8 4 X 4 ,Mumbai,Diesel,"54,000 KM",Silver,Yes,2014,"8,15,000"
Mahindra, Xylo E4 BS IV ,Mumbai,Diesel,"55,000 KM",Brown,Yes,2010,"3,95,000"
Maruti Suzuki, New Swift DZire VXI AT ,Mumbai,Petrol,"11,000 KM",Blue,Yes,2016,"6,20,000"
Maruti Suzuki, SX4 ZXI AT BS IV ,Mumbai,Petrol,"68,000 KM",Silver,Yes,2010,"2,95,000"
Maruti Suzuki, Ertiga VXI BS IV ,Mumbai,Petrol,"25,000 KM",Grey,Yes,2016,"6,70,000"
Maruti Suzuki, A Star VXI AT ,Mumbai,Petrol,"16,000 KM",Grey,Yes,2012,"2,95,000"
Hyundai, Xcent S AT 1.2 ,Mumbai,Petrol,"18,000 KM",Red,Yes,2014,"4,85,000"
Mahindra, XUV500 W6 FWD ,Thane,Diesel,"83,989 KM",White,Yes,2015,"9,35,000"
Renault, Duster RxL Diesel 110PS ,Thane,Diesel,"72,617 KM",White,Yes,2014,"6,25,000"
Volkswagen, Polo Highline1.2L (P) ,Thane,Petrol,"19,092 KM",Silver,Yes,2016,"5,90,000"
Honda, Brio S MT ,Thane,Petrol,"40,157 KM",Silver,Yes,2014,"3,70,000"
Hyundai, Grand i10 Asta(O) 1.2 VTVT Kappa Petrol ,Mumbai,Petrol,"22,000 KM",White,Yes,2016,"5,11,000"
Honda, Brio VX AT ,Thane,Petrol,"18,170 KM",White,Yes,2014,"4,50,000"
Honda, Amaze S MT Petrol ,Thane,Petrol,"36,060 KM",White,Yes,2015,"4,90,000"
Hyundai, Elite i20 1.2 Kappa VTVT Asta Petrol ,Thane,Petrol,"45,041 KM",White,Yes,2015,"5,70,000"
Hyundai, Grand i10 1.2 Kappa VTVT 4AT Asta (O) ,Thane,Petrol,"29,298 KM",White,Yes,2016,"5,65,000"
Hyundai, Verna Fluidic 1.6 CRDi SX AT ,Thane,Diesel,"60,866 KM",White,Yes,2013,"6,70,000"
Hyundai, Verna Fluidic 1.6 CRDi SX AT ,Thane,Diesel,"43,285 KM",Red,Yes,2015,"8,25,000"
Hyundai, Verna Fluidic 1.6 VTVT SX Opt AT ,Thane,Petrol,"47,467 KM",Purple,Yes,2013,"5,65,000"
Maruti Suzuki, SX4 ZXI MT BS IV ,Thane,Petrol,"74,181 KM",Grey,Yes,2007,"2,15,000"
Hyundai, i10 Magna 1.2 Kappa2 ,Mumbai,Petrol,"28,000 KM",Grey,Yes,2013,"3,20,000"
Maruti Suzuki, Baleno Alpha Petrol ,Thane,Petrol,"21,845 KM",Red,Yes,2016,"6,80,000"
Mitsubishi, Pajero Sport 2.5 MT 4X4 ,Mumbai,Diesel,"56,700 KM",White,Yes,2012,"12,85,000"
Maruti Suzuki, Celerio VXi Auto Gear Shift ,Thane,Petrol,"12,777 KM",Silver,Yes,2015,"4,25,000"
Hyundai, Verna Fluidic 1.6 CRDI SX Opt AT ,Mumbai,Diesel,"39,000 KM",White,Yes,2013,"6,40,000"
Hyundai, Verna Fluidic 1.6 VTVT SX ,Mumbai,Petrol,"53,000 KM",Silver,Yes,2013,"5,05,000"
Mercedes Benz, M Class ML 250 ,Thane,Diesel,"52,618 KM",Grey,Yes,2015,"42,00,000"
Hyundai, i20 Magna Petrol ,Mumbai,Petrol,"36,000 KM",Red,Yes,2012,"3,25,000"
Hyundai, Neo Fluidic Elantra 1.8 SX MT VTVT ,Mumbai,Petrol,"22,000 KM",Silver,Yes,2012,"6,50,000"
Skoda, Superb 1.8 TSI AT Elegance ,Mumbai,Petrol,"48,742 KM",Maroon,Yes,2009,"5,01,000"
Honda, Mobilio V i VTEC ,Mumbai,Petrol,"12,000 KM",Gold,Yes,2015,"5,95,000"
Mercedes Benz, GLA Class GLA200CDI Sport ,Mumbai,Diesel,"42,024 KM",White,Yes,2015,"24,95,000"
Maruti Suzuki, Wagon R Duo LXi LPG ,Mumbai,Petrol+Lpg,"44,323 KM",Silver,Yes,2008,"1,85,000"
Hyundai, i10 Asta 1.2 AT with Sunroof ,Mumbai,Petrol,"31,000 KM",Grey,Yes,2012,"3,50,000"
Volkswagen, Polo Comfortline 1.2L (P) ,Mumbai,Petrol,"31,000 KM",Silver,Yes,2014,"4,45,000"
Toyota, Innova 2.5 G (Diesel) 8 STR Euro4 ,Thane,Diesel,"1,59,527 KM",White,Yes,2013,"10,41,000"
Datsun, Redi-GO T(O) ,Mumbai,Petrol,"11,000 KM",Red,Yes,2017,"3,10,000"
Volkswagen, Jetta Highline TDI (AT) ,Mumbai,Diesel,"55,000 KM",Grey,Yes,2014,"11,95,000"
Hyundai, Neo Fluidic Elantra 1.6 SX MT CRDi ,Thane,Diesel,"35,887 KM",Silver,Yes,2013,"7,50,000"
Land Rover, Discovery Sport HSE Luxury ,Mumbai,Diesel,"26,000 KM",White,Yes,2016,"42,90,000"
Hyundai, Eon Era + LPG ,Thane,Petrol+Lpg,"20,000 KM",White,Yes,2013,"2,25,000"
Toyota, Corolla Altis 1.8 J ,Mumbai,Petrol,"47,000 KM",Grey,Yes,2015,"8,90,000"
Tata, Bolt XM Petrol Revotron 1.2T ,Mumbai,Petrol,"22,000 KM",Grey,Yes,2015,"3,45,000"
Maruti Suzuki, Swift VDi ,Mumbai,Diesel,"37,008 KM",Silver,Yes,2012,"4,49,000"
Skoda, Rapid Elegance 1.6 MPI AT ,Mumbai,Petrol,"23,000 KM",Beize,Yes,2012,"4,45,000"
Maruti Suzuki, Eeco 5 STR WITH A/C+HTR ,Mumbai,Petrol,"14,801 KM",Red,No,2010,"2,49,000"
Toyota, Fortuner 3.0 4X4 MT ,Mumbai,Diesel,"76,000 KM",Silver,Yes,2013,"16,75,000"
Maruti Suzuki, Ritz Vxi BS IV ,Mumbai,Petrol,"37,000 KM",Brown,Yes,2011,"2,60,000"
Hyundai, i10 Sportz 1.2 ,Mumbai,Petrol,"33,000 KM",Silver,Yes,2015,"4,45,000"
Volkswagen, Polo GT TSI ,Mumbai,Petrol,"34,698 KM",Red,Yes,2013,"5,69,000"
Audi, Q3 35 TDI Premium + Sunroof ,Mumbai,Diesel,"22,500 KM",Blue,Yes,2016,"31,90,000"
Renault, Captur RXT Diesel ,Mumbai,Diesel,"13,581 KM",Orange,Yes,2017,"12,39,000"
Skoda, Fabia Elegance 1.2 TDI ,Mumbai,Diesel,"42,000 KM",White,Yes,2011,"3,70,000"
Renault, Pulse RxL Petrol ,Mumbai,Petrol,"38,000 KM",White,Yes,2012,"2,55,000"
Mercedes Benz, E Class E250 CDI Classic ,Mumbai,Diesel,"36,000 KM",White,Yes,2010,"15,90,000"
Mercedes Benz, A Class A 200 CDI Sport ,Mumbai,Diesel,"30,000 KM",Silver,Yes,2015,"19,90,000"
Renault, Lodgy RxE 85 PS ,Mumbai,Diesel,"18,000 KM",White,Yes,2017,"7,95,000"
Nissan, Sunny XL Diesel ,Mumbai,Diesel,"26,000 KM",Grey,Yes,2012,"4,50,000"
BMW, 3 Series 320d Prestige ,Mumbai,Diesel,"51,800 KM",Red,Yes,2013,"17,90,000"
Mahindra, Xylo E4 BS IV ,Mumbai,Diesel,"56,000 KM",Brown,Yes,2010,"3,75,000"
Mahindra, Quanto C6 ,Mumbai,Diesel,"48,000 KM",White,Yes,2013,"3,95,000"
Mercedes Benz, C Class C 220 CDI BlueEFFICIENCY ,Mumbai,Diesel,"33,000 KM",White,Yes,2011,"13,75,000"
Maruti Suzuki, SX4 VXi ,Mumbai,Petrol,"46,000 KM",Purple,Yes,2011,"3,00,000"
Maruti Suzuki, Ertiga ZXI BS IV(WITH ALLOY) ,Mumbai,Petrol,"23,000 KM",Silver,Yes,2014,"6,55,000"
Maruti Suzuki, Ciaz VXi+ AT ,Mumbai,Petrol,"17,000 KM",Silver,Yes,2016,"7,25,000"
Maruti Suzuki, Celerio ZXi AMT ,Mumbai,Petrol,"25,000 KM",Grey,Yes,2016,"4,70,000"
Hyundai, Verna Fluidic 1.6 CRDI SX Opt ,Mumbai,Diesel,"29,000 KM",Beize,Yes,2013,"6,70,000"
Hyundai, Xcent 1.2L Kappa Dual VTVT 5-Speed Manual S ,Mumbai,Petrol,"14,000 KM",Blue,Yes,2016,"4,95,000"
Honda, Amaze VX MT Petrol ,Mumbai,Petrol,"28,000 KM",Red,Yes,2013,"4,25,000"
Honda, Mobilio V i DTEC ,Mumbai,Diesel,"31,000 KM",Beize,Yes,2015,"6,70,000"
Volkswagen, Polo Comfortline 1.2L (P) ,Mumbai,Petrol,"16,000 KM",Blue,Yes,2011,"2,95,000"
Ford, Figo Duratec Petrol EXI 1.2 ,Thane,Petrol,"44,129 KM",Grey,Yes,2011,"2,11,000"
Hyundai, i20 Sportz 1.2 BS IV ,Mumbai,Petrol,"47,971 KM",White,Yes,2013,"4,10,000"
Toyota, Corolla Altis 1.8G ,Mumbai,Petrol,"74,000 KM",Beize,Yes,2011,"4,40,000"
Mahindra, XUV500 W8 FWD ,Mumbai,Diesel,"77,332 KM",Black,Yes,2013,"7,95,000"
Mahindra, NuvoSport N8 ,Mumbai,Diesel,"28,000 KM",Yellow,Yes,2016,"7,95,000"
Honda, City 1.5 V AT ,Mumbai,Petrol,"53,198 KM",White,Yes,2012,"5,75,000"
Maruti Suzuki, Swift VXi ,Mumbai,Petrol,"28,000 KM",Red,Yes,2013,"4,55,000"
Honda, Amaze S AT Petrol ,Mumbai,Petrol,"24,673 KM",White,Yes,2014,"5,15,000"
Tata, Manza Aura Safire BS IV ,Thane,Petrol,"44,354 KM",Silver,Yes,2014,"2,49,000"
Volkswagen, Vento Highline Petrol ,Thane,Petrol+Cng,"45,211 KM",White,Yes,2011,"3,49,000"
Renault, Duster RxL Diesel 85PS ,Mumbai,Diesel,"63,742 KM",Red,Yes,2012,"6,00,000"
Maruti Suzuki, Alto K10 VXi AMT ,Mumbai,Petrol,"4,000 KM",Orange,Yes,2015,"3,50,000"
Hyundai, Verna Fluidic 1.6 VTVT SX ,Mumbai,Petrol,"20,381 KM",Purple,Yes,2012,"4,95,000"
Hyundai, Grand i10 Asta(O) 1.2 VTVT Kappa Petrol ,Mumbai,Petrol,"17,000 KM",Grey,Yes,2016,"4,95,000"
Honda, BR-V V CVT (Petrol) ,Mumbai,Petrol,"12,441 KM",White,Yes,2017,"10,75,000"
Honda, Brio VX AT ,Mumbai,Petrol,"15,000 KM",White,Yes,2013,"4,35,000"
Ford, Figo Duratec Petrol Titanium 1.2 ,Mumbai,Petrol,"30,000 KM",Orange,Yes,2014,"3,25,000"
Chevrolet, Beat PS Petrol ,Mumbai,Petrol,"32,000 KM",White,Yes,2013,"2,20,000"
Honda, City V 1.5L i-VTEC ,Mumbai,Petrol,"43,530 KM",Brown,Yes,2014,"6,80,000"
Honda, City VX 1.5L i-VTEC CVT ,Mumbai,Petrol,"14,000 KM",White,Yes,2017,"11,50,000"
Mercedes Benz, S Class S 350 CDI ,Mumbai,Diesel,"35,000 KM",Silver,Yes,2015,"75,00,000"
Volkswagen, Polo GT TSI ,Mumbai,Petrol,"33,000 KM",White,Yes,2014,"5,95,000"
Honda, City VX 1.5L i-VTEC CVT ,Mumbai,Petrol,"23,439 KM",White,Yes,2017,"12,25,000"
Volkswagen, Polo Highline1.2L (P) ,Mumbai,Petrol,"23,280 KM",Black,Yes,2011,"3,50,000"
Ford, Fiesta (2006 2011) Exi 1.6 Duratec Ltd ,Mumbai,Petrol,"22,983 KM",Purple,Yes,2010,"2,20,000"
Ford, Figo Duratec Petrol Titanium 1.2 ,Mumbai,Petrol,"43,275 KM",Silver,Yes,2013,"3,30,000"
BMW, 5 Series 520d Sedan 2.0 ,Mumbai,Diesel,"57,450 KM",Grey,Yes,2012,"19,90,000"
Renault, Duster RxL Diesel 85PS ,Mumbai,Diesel,"55,000 KM",Red,Yes,2013,"5,95,000"
Hyundai, i10 Sportz 1.2 ,Mumbai,Petrol,"48,000 KM",Red,Yes,2012,"3,45,000"
Mercedes Benz, C Class 200 CGI Avantgarde ,Thane,Petrol,"27,000 KM",White,Yes,2011,"14,00,000"
Mercedes Benz, E Class E250 CDI Avantgarde ,Thane,Diesel,"22,000 KM",Silver,Yes,2014,"29,00,000"
Skoda, Rapid Active 1.6 MPI MT Plus ,Mumbai,Petrol,"33,000 KM",Beize,Yes,2013,"3,85,000"
Hyundai, Creta 1.6 SX Plus AT Petrol ,Mumbai,Petrol,"8,000 KM",White,Yes,2017,"13,50,000"
BMW, 5 Series 520d Sedan ,Mumbai,Diesel,"75,000 KM",Blue,Yes,2011,"15,25,000"
Audi, A8 L 4.2 FSI quattro ,Mumbai,Petrol,"55,500 KM",Silver,Yes,2010,"37,50,000"
Mercedes Benz, M Class ML 320 CDI ,Mumbai,Diesel,"55,800 KM",Blue,Yes,2009,"13,85,000"
Mercedes Benz, GLA Class GLA200 Sport ,Mumbai,Petrol,"21,500 KM",Red,Yes,2016,"24,75,000"
Skoda, Rapid Active 1.6 MPI MT ,Mumbai,Petrol,"49,000 KM",White,Yes,2012,"3,40,000"
Maruti Suzuki, SX4 VXi ,Mumbai,Petrol,"66,000 KM",Silver,Yes,2010,"2,65,000"
Volkswagen, Polo Highline1.2L (P) ,Mumbai,Petrol,"34,416 KM",Blue,Yes,2014,"4,70,000"
Audi, A3 35 TDI Premium ,Mumbai,Diesel,"35,500 KM",Brown,Yes,2015,"17,75,000"
Hyundai, Verna Fluidic 1.6 VTVT SX Opt AT ,Mumbai,Petrol,"41,500 KM",Purple,Yes,2012,"5,25,000"
Audi, A6 2.0 TDI Premium ,Mumbai,Diesel,"1,25,000 KM",White,Yes,2012,"17,25,000"
Toyota, Innova 2.5 VX 8 STR BS IV ,Mumbai,Diesel,"1,11,000 KM",Silver,Yes,2012,"9,75,000"
Hyundai, i10 Magna 1.2 Kappa2 ,Mumbai,Petrol,"44,000 KM",Silver,Yes,2011,"2,75,000"
Hyundai, i10 Era ,Mumbai,Petrol,"56,200 KM",Grey,Yes,2010,"2,40,000"
Hyundai, Verna Fluidic 1.6 VTVT SX ,Mumbai,Petrol,"58,500 KM",Grey,Yes,2013,"4,95,000"
Honda, City 1.5 V AT ,Mumbai,Petrol,"54,000 KM",Gold,Yes,2011,"3,95,000"
Hyundai, Accent GLE ,Mumbai,Petrol,"64,000 KM",Silver,Yes,2010,"1,75,000"
Hyundai, Creta 1.6 SX Plus Petrol ,Mumbai,Petrol,"2,500 KM",White,Yes,2017,"12,35,000"
BMW, 5 Series 520d Sedan ,Mumbai,Diesel,"30,500 KM",Blue,Yes,2012,"24,75,000"
Toyota, Etios G ,Mumbai,Petrol,"42,200 KM",White,Yes,2012,"3,25,000"
Chevrolet, Sail 1.3 TCDi LT ABS Diesel ,Mumbai,Diesel,"49,000 KM",White,Yes,2013,"3,50,000"
Jaguar, XF Diesel Luxury 2.2 ,Mumbai,Diesel,"32,800 KM",Blue,Yes,2013,"29,50,000"
Honda, CR V 2.4 AT AVN ,Mumbai,Petrol,"61,700 KM",Silver,Yes,2014,"13,85,000"
Mercedes Benz, C Class 220 CDI Avantgarde ,Mumbai,Diesel,"26,500 KM",White,Yes,2015,"29,50,000"
BMW, 7 Series 730Ld Sedan ,Mumbai,Diesel,"57,000 KM",Grey,Yes,2012,"29,00,000"
Maruti Suzuki, New Swift DZire ZXI ,Mumbai,Petrol,"37,000 KM",Grey,Yes,2015,"5,85,000"
Maruti Suzuki, Swift ZXi ,Mumbai,Petrol,"35,000 KM",Blue,Yes,2012,"4,05,000"
Audi, Q7 40 TFSI Technology Pack ,Mumbai,Petrol,"17,910 KM",Blue,Yes,2017,"76,00,000"
Audi, Q7 45 TDI Premium Plus ,Mumbai,Diesel,"14,154 KM",Silver,Yes,2017,"73,00,000"
Audi, A3 Cabriolet 1.4 TFSI ,Mumbai,Petrol,"13,388 KM",Yellow,Yes,2016,"45,00,000"
Audi, A3 35 TDI Technology + Sunroof ,Mumbai,Diesel,"10,240 KM",Red,Yes,2016,"27,00,000"
Ford, EcoSport 1.0 Eco Boost Titanium (O) (MT) Petrol ,Mumbai,Petrol,"69,858 KM",Grey,Yes,2013,"4,50,000"
Audi, A6 2.0 TDI Premium ,Mumbai,Diesel,"55,475 KM",White,Yes,2012,"18,50,000"
Audi, Q3 2.0 TDI Quattro Premium ,Mumbai,Diesel,"78,371 KM",Blue,Yes,2014,"19,00,000"
Hyundai, Grand i10 Sportz (O) AT 1.2 Kappa VTVT ,Mumbai,Petrol,"18,000 KM",White,Yes,2017,"6,20,000"
Nissan, Sunny XV ,Mumbai,Petrol,"33,500 KM",Silver,Yes,2014,"4,99,000"
Volkswagen, Jetta Trendline 2.0L TDI ,Mumbai,Diesel,"62,000 KM",Blue,Yes,2009,"3,60,000"
Hyundai, i10 Sportz 1.2 AT ,Thane,Petrol,"55,851 KM",Silver,Yes,2011,"3,25,000"
Mercedes Benz, C Class 220 CDI Elegance AT ,Mumbai,Diesel,"1,00,000 KM",Grey,Yes,2008,"7,99,000"
Mahindra, XUV500 W8 FWD ,Thane,Diesel,"1,04,123 KM",Silver,Yes,2013,"6,95,000"
Hyundai, Xcent 1.2L Kappa Dual VTVT 5-Speed Manual S ,Mumbai,Petrol,"12,400 KM",Red,Yes,2015,"4,85,000"
Renault, Duster RxZ Diesel 110PS ,Thane,Diesel,"80,000 KM",Red,Yes,2013,"6,25,000"
